model,nodes,vertices,features,time,exp_type
gat,16,262144,128,1.3861422538757324,GAT_DIST_SAMPLE
va,16,262144,128,0.3357491493225097,VA_DIST
va,16,262144,128,0.9372079372406006,VA_DIST_SAMPLE
agnn,16,131072,128,0.2087910175323486,AGNN_DIST
agnn,16,131072,128,0.5241811275482178,AGNN_DIST_SAMPLE
gat,16,131072,128,0.4068357944488525,GAT_DIST
gat,16,131072,128,0.7141697406768799,GAT_DIST_SAMPLE
va,16,131072,128,0.17445969581604,VA_DIST
va,16,131072,128,0.5337586402893066,VA_DIST_SAMPLE
agnn,32,1048576,128,1.156989574432373,AGNN_DIST
agnn,32,1048576,128,2.413403034210205,AGNN_DIST_SAMPLE
gat,32,1048576,128,2.249406099319458,GAT_DIST
gat,32,1048576,128,3.119332790374756,GAT_DIST_SAMPLE
va,32,1048576,128,1.4842383861541748,VA_DIST
va,32,1048576,128,2.6011695861816406,VA_DIST_SAMPLE
agnn,32,262144,128,0.3794074058532715,AGNN_DIST
agnn,32,262144,128,0.9075934886932372,AGNN_DIST_SAMPLE
gat,32,262144,128,0.7283477783203125,GAT_DIST
gat,32,262144,128,1.2943387031555176,GAT_DIST_SAMPLE
va,32,262144,128,0.4611029624938965,VA_DIST
va,32,262144,128,1.0209732055664062,VA_DIST_SAMPLE
agnn,32,2097152,128,5.062984466552734,AGNN_DIST
agnn,32,2097152,128,6.498382091522217,AGNN_DIST_SAMPLE
va,32,2097152,128,5.447941780090332,VA_DIST
va,32,2097152,128,6.624362230300903,VA_DIST_SAMPLE
agnn,32,131072,128,0.343461275100708,AGNN_DIST
agnn,32,131072,128,0.6031208038330078,AGNN_DIST_SAMPLE
gat,32,131072,128,0.5329818725585938,GAT_DIST
gat,32,131072,128,0.8470370769500732,GAT_DIST_SAMPLE
va,32,131072,128,0.3726224899291992,VA_DIST
va,32,131072,128,0.6988639831542969,VA_DIST_SAMPLE
